headline	lead_paragraph	web_url
Sean Scully Fills a Spanish Monastery With Bursts of Color	The Irish-American artist is showing some of his abstract works in a 1,000-year-old monastery in Spain.	http://www.nytimes.com/2015/07/01/arts/international/sean-scully-painting-from-the-heart-to-the-heart.html
‘Guillaume Tell,’ at Royal Opera House, Draws Criticism for Violence and Nudity	The premiere of a new production, by Damiano Michieletto, was met with boos from the audience at the Royal Opera House in London.	http://www.nytimes.com/2015/07/01/arts/music/guillaume-tell-at-the-royal-opera-house-draws-criticism-for-its-violence-and-nudity.html
Review: Ekmeles Performs Chamber Works Written for Voices and Brass Instruments	The new-music vocal ensemble performed several chamber works in a concert that was the close of the Five Boroughs Music Festival&#8217;s season.	http://www.nytimes.com/2015/07/01/arts/music/review-ekmeles-performs-chamber-works-written-for-voices-and-brass-instruments.html
Review: &#8216;Cinderella&#8217; Returns to the American Ballet Theater Stable	An extraordinarily detailed three-act version of this Frederick Ashton choreography returned to the company&#8217;s repertory at the Metropolitan Opera House.	http://www.nytimes.com/2015/07/01/arts/dance/review-cinderella-returns-to-the-american-ballet-theater-stable.html
Misty Copeland Is Promoted to Principal Dancer at American Ballet Theater	She becomes the first African-American female principal dancer in the company’s 75-year history.	http://www.nytimes.com/2015/07/01/arts/dance/misty-copeland-is-promoted-to-principal-dancer-at-american-ballet-theater.html
Harold Feinstein Dies at 84; Froze New York Moments in Black and White	Although Mr. Feinstein immortalized a period in the history of Coney Island, especially, he turned his lens on a wide variety of subjects.	http://www.nytimes.com/2015/06/30/arts/harold-feinstein-dies-at-84-froze-new-york-moments-in-black-and-white.html
Drummer for Journey in Jail on Rape Charges in Oregon	Journey drummer Deen Castronovo was in jail in Oregon on Tuesday on charges of rape and sexual assault, court officials said.	http://www.nytimes.com/reuters/2015/06/30/arts/30reuters-usa-entertainment-journey-arrest.html
Misty Copeland: &#8216;I Want to Bring More People to Ballet&#8217;		http://artsbeat.blogs.nytimes.com/2015/06/30/misty-copeland-i-want-to-bring-more-people-to-ballet/
An Older, Wiser Schwarzenegger Returns in 'Terminator: Genisys'	"Arnold Schwarzenegger may be older but that does not stop him from destroying his younger self, as the former governor of California returns to one of his most recognizable roles in ""Terminator: Genisys."""	http://www.nytimes.com/reuters/2015/06/30/arts/30reuters-film-terminatorgenisys.html
The Wedding is Off: &#8216;It Shoulda Been You&#8217; Will Close in August		http://artsbeat.blogs.nytimes.com/2015/06/30/the-wedding-is-off-it-shoulda-been-you-will-close-in-august/
U.S. Court Vacates Ruling Against Golf Channel Over Stanford Fraud	A U.S. federal appeals court on Tuesday threw out its own ruling that could have forced the Golf Channel to repay $5.9 million it received from convicted swindler Allen Stanford.	http://www.nytimes.com/reuters/2015/06/30/arts/30reuters-usa-golfchannel-stanford.html
Trump Sues Univision for $500 Million Over Miss USA Cancellation	U.S. presidential candidate and real estate mogul Donald Trump filed a $500 million lawsuit on Tuesday against Univision over the Spanish-language TV network's decision to end its contract to broadcast the Miss USA pageant, which is co-owned by Trump.	http://www.nytimes.com/reuters/2015/06/30/arts/30reuters-trump-univision.html
A Look at the &#8216;Snowden&#8217; Teaser Trailer		http://artsbeat.blogs.nytimes.com/2015/06/30/a-look-at-the-snowden-teaser-trailer/
Actors Ben Affleck, Jennifer Garner Announce Plans to Divorce	Hollywood A-list couple Ben Affleck and Jennifer Garner on Tuesday announced plans to divorce, a day after their 10th wedding anniversary.	http://www.nytimes.com/reuters/2015/06/30/arts/30reuters-people-benaffleck-jennifergarner.html
Summer Culture Guide	Recommendations from The Times arts team.	http://www.nytimes.com/interactive/2015/arts/summer-culture-guide.html
Jacques P&#233;pin Preps Book, TV Series Ahead of 80th Birthday	Renowned celebrity chef Jacques P&#233;pin may be approaching his 80th birthday, but the award-winning cook is still going strong.	http://www.nytimes.com/reuters/2015/06/30/arts/30reuters-food-chef-pepin.html
Social Media Reaction to Misty Copeland&#8217;s Historic Promotion		http://artsbeat.blogs.nytimes.com/2015/06/30/social-media-reaction-to-misty-copelands-historic-promotion/
Misty Copeland Leaps Past Racial Barrier in U.S. Ballet	Misty Copeland on Tuesday became the first African-American female principal ballerina with the American Ballet Theatre in the dance company's 75-year history.	http://www.nytimes.com/reuters/2015/06/30/arts/30reuters-dance-mistycopeland.html
David Hackett Fischer Wins $100K Award for Military Writing	Historian David Hackett Fischer has won a $100,000 award for military writing.	http://www.nytimes.com/aponline/2015/06/30/arts/ap-us-books-pritzker-award.html
Zadie Smith to Collaborate on a Screenplay		http://artsbeat.blogs.nytimes.com/2015/06/30/zadie-smith-to-collaborate-on-a-screenplay/
A Dutch-Belgian Design Showdown	The exhibition 'Design Derby' compares 200 years of design evolution by two 2 often rival cultures.	http://www.nytimes.com/2015/06/30/arts/international/a-dutch-belgian-design-showdown.html
Delaware Art Museum Completes Sale of Artworks to Repay Debt		http://artsbeat.blogs.nytimes.com/2015/06/30/delaware-art-museum-completes-sale-of-artworks-to-repay-debt/
Met Extends Show on China&#8217;s Fashion Influence		http://artsbeat.blogs.nytimes.com/2015/06/30/met-extends-show-on-chinas-fashion-influence/
Leonard Nimoy Is Remembered at Symphony Space		http://artsbeat.blogs.nytimes.com/2015/06/30/leonard-nimoy-is-remembered-at-symphony-space/
Jessica Hecht, Adam Kantor to Star in 'Fiddler on the Roof'	Jessica Hecht and Adam Kantor have been cast opposite Broadway's next Tevye.	http://www.nytimes.com/aponline/2015/06/30/arts/ap-us-theater-fiddler-on-the-roof.html
Bella Thorne Helps Kick Off MTV's 'Scream' Adaptation	Bella Thorne has advice for anyone being chased by a villain in a horror film:	http://www.nytimes.com/aponline/2015/06/30/arts/ap-us-tv-scream-bella-thorne.html
Misty Copeland Named First Black Female Principal at ABT	Misty Copeland, the Missouri-born ballerina who's become a forceful voice for diversity in ballet and achieved a celebrity that far transcends that rarified world, was named principal dancer at American Ballet Theatre on Tuesday &#8212; the first African-American woman to reach that status in the company's 75-year history.	http://www.nytimes.com/aponline/2015/06/30/arts/ap-us-dance-misty-copeland.html
New Victory Theater to Offer 'Robin Hood,' 'Caps for Sale'	"A witty play about Robin Hood, a cycling-inspired circus, musicals of the classic books ""Caps For Sale"" and ""The Gruffalo"" and a look at the brave Tuskegee Airmen are among next season's offerings as The New Victory Theater celebrates its 20th anniversary."	http://www.nytimes.com/aponline/2015/06/30/arts/ap-us-theater-new-victory.html
Magic of Disney Animation to Close at Hollywood Studios	The Magic of Disney Animation is closing at Hollywood Studios.	http://www.nytimes.com/aponline/2015/06/30/arts/ap-us-hollywood-studios-attraction-closing.html
'Glee'-Type Music Contest Crowns Winners in New York City	A 17-year-old New Yorker math and science whiz and an 18-year-old Californian who will study musical theater in college have won top honors at the National High School Musical Theater Awards.	http://www.nytimes.com/aponline/2015/06/30/arts/ap-us-high-school-theater-awards.html
Celebrity Birthdays for the Week of July 5-11	"July 5: Actress Katherine Helmond is 86. Actress Shirley Knight is 79. Singer-musician Robbie Robertson is 72. Julie Nixon Eisenhower is 67. Rock star Huey Lewis is 65. Baseball Hall-of-Fame pitcher Rich ""Goose"" Gossage is 64. Country musician Charles Ventre is 63. Singer-songwriter Marc Cohn is 56. Actor John Marshall Jones is 53. Actor Dorien Wilson is 53. Actress Edie Falco is 52. Actress Jillian Armenante is 51. Actress Kathryn Erbe is 50. Actor Michael Stuhlbarg is 47. Country musician Brent Flynn (Flynnville Train) is 46. Rapper RZA is 46. Rhythm-and-blues singer Joe is 42. Rock musician Bengt Lagerberg (The Cardigans) is 42. Actor Dale Godboldo is 40. Rapper Bizarre is 39. Rock singer Jason Wade (Lifehouse) is 35. Actor Ryan Hansen is 34. Country musician Dave Haywood (Lady Antebellum) is 33. Rock musician Nick O'Malley (Arctic Monkeys) is 30. Actor Jason Dolley is 24."	http://www.nytimes.com/aponline/2015/06/30/arts/ap-us-celeb-birthdays.html
R&B Singer Miguel Says New 'Wildheart' Album Rooted in LA	"Grammy Award winning R&amp;B singer Miguel brings his hometown of Los Angeles to the forefront in his third studio album ""Wildheart"". "	http://www.nytimes.com/reuters/2015/06/30/arts/30reuters-music-miguel.html
Menil Collection Director Leaving for Kunstmuseum Basel		http://artsbeat.blogs.nytimes.com/2015/06/30/menil-collection-director-departs-to-lead-kunstmuseum-basel/
Marvel's Superhero 'Ant-Man' Plays Big for the Silver Screen	"Marvel brings its latest superhero offering to the silver screen in ""Ant-Man"", with Paul Rudd, known for his roles in popular comedies, portraying a thief who has the power to shrink in size but grow in power."	http://www.nytimes.com/reuters/2015/06/30/arts/30reuters-film-antman.html
NeNe Leakes Saying Goodbye to 'Real Housewives of Atlanta'	"NeNe Leakes is moving on from ""The Real Housewives of Atlanta."""	http://www.nytimes.com/aponline/2015/06/30/arts/ap-us-people-nene-leakes.html
Seattle Home Linked to Disney's 'Up' Movie Could Be Demolished: Media	"A century-old Seattle house resembling the home in Walt Disney Co's animated movie ""Up"" is facing possible demolition, local media reported on Monday. "	http://www.nytimes.com/reuters/2015/06/30/arts/30reuters-usa-seattle-house.html
For Black Principal Dancers, Rarefied Air	With her promotion at American Ballet Theater, Misty Copeland joins only a handful of African-Americans at major companies who became principals. Here’s a look at a few of them.	http://www.nytimes.com/interactive/2015/06/30/arts/dance/black-principals.html
Dance This Week: Cinderella’s Force Field and a Passionate ‘Apollo’ Argument	There is a box sequence in Act II of “Cinderella” that is easy to miss. Once noticed however, it makes the mysterious drama of the ballroom take off.	http://www.nytimes.com/2015/06/30/arts/dance/dance-this-week-cinderellas-force-field-and-a-passionate-apollo-argument.html
What’s on TV Tuesday	Television highlights.	http://www.nytimes.com/2015/06/30/arts/television/whats-on-tv-tuesday.html
Jack Carter, Comedian Who Brought His Rapid-Fire Delivery to TV, Dies at 93	Mr. Carter was a comic and an actor possessing a rapid-fire delivery, a barrage of one-liners and impressions, a dancer&#8217;s light-footedness and a more than passable singing voice.	http://www.nytimes.com/2015/06/30/arts/television/jack-carter-comedian-who-brought-his-rapid-fire-delivery-to-tv-dies-at-93.html
