headline	lead_paragraph	web_url
Notable Deaths of 2015	Remembering Ornette Coleman, Christopher Lee, B.B. King, Happy Rockefeller, Anita Ekberg, Ernie Banks, Sarah Brady, Leonard Nimoy, Mario Cuomo, Günter Grass, Percy Sledge, Maya Plisetskaya, Lee Kuan Yew and others who died this year.	http://www.nytimes.com/interactive/2015/obituaries/notable-deaths-2015.html
A Comedian Who Stood in a Range of Spotlights	Anne Meara was well known for the stand-up act she shared with her husband, Jerry Stiller. But her life in show business had many facets.	http://www.nytimes.com/slideshow/2015/05/24/obituaries/25MEARA.html
B.B. King, Bluesman of Distinction	Jon Pareles reflects on the rawness and finesse of B.B. King, whose musical style made him approachable to audiences and propelled him to fame.	http://www.nytimes.com/video/obituaries/100000003686211/bb-king-bluesman-of-distinction.html
Joshua Ozersky, Food Writer Who Extolled Meat, Is Dead at 47	The 47-year-old Mr. Ozersky, a blogger, critic and author of several books, was in Chicago for an awards ceremony presented by the James Beard Foundation.	http://www.nytimes.com/2015/05/05/dining/joshua-ozersky-prolific-food-writer-is-dead.html
Joel Spira, Physicist Who Softened the Lights in Homes Everywhere, Dies at 88	Mr. Spira invented the first lighting dimmer suitable for home use, and founded Lutron Electronics with his wife in 1961.	http://www.nytimes.com/2015/04/15/business/joel-spira-physicist-who-softened-the-lights-in-homes-everywhere-dies-at-88.html
Nimoy Explains Origin of Vulcan Greeting	As part of the Yiddish Book Center Wexler Oral History Project, Leonard Nimoy explains the origin of the Vulcan hand signal used by Spock, his character in the “Star Trek” series.	http://www.nytimes.com/video/obituaries/100000003536154/nimoy-explains-origin-of-vulcan-greeting.html
Cuomo at the 1984 Democratic Convention	At the 1984 Democratic National Convention, then Gov. Mario M. Cuomo of New York delivered his famous “tale of two cities” keynote address.	http://www.nytimes.com/video/obituaries/100000003268326/cuomo-at-the-1984-democratic-convention.html
Notable Deaths of 2014	Remembering Maya Angelou, Philip Seymour Hoffman, Shirley Temple Black, Nadine Gordimer, Ruby Dee, Howard Baker, Elaine Stritch, Mickey Rooney, Robin Williams and others who died this year.	http://www.nytimes.com/interactive/2014/obituaries/notable-deaths-2014.html
Looking Back: Those We Lost in 2014	This year produced many deaths that stunned the country if not the world, in the fields of news, arts, sciences, politics and athletics.	http://www.nytimes.com/2014/12/31/nyregion/notable-deaths-in-2014.html
Alfred Wertheimer, Photographer of a Young Elvis	Mr. Wertheimer took thousands of pictures of the future rock ‘n’ roll superstar in the 1950s, photos that were largely forgotten until the 1990s.	http://www.nytimes.com/slideshow/2014/10/22/obituaries/Wertheimer-obit-copy.html
Oscar de la Renta, Who Clothed Stars and Became One, Dies at 82	Mr. de la Renta dressed the wives of American presidents and socialites, but it was Hollywood glitz that defined him for a new age and a new customer.	http://www.nytimes.com/2014/10/21/nyregion/oscar-de-la-renta-fashion-designer-dies-at-82.html
Death of a Dictator	Jean-Claude Duvalier, a former president of Haiti who ruled the country with a bloody brutality, died on Saturday.	http://www.nytimes.com/video/obituaries/100000003158331/death-of-a-dictator.html
Life of a Yoga Guru	The New York Times reporter William J. Broad remembers B.K.S. Iyengar, who helped introduce the practice of yoga to the Western world. Iyengar, 95, died on Wednesday in the Indian city of Pune.	http://www.nytimes.com/video/obituaries/100000003066368/life-of-a-yoga-guru.html
Robin Williams, Oscar-Winning Actor, Dies at 63	Mr. Williams imbued his performances with wild inventiveness and a kind of manic energy	http://www.nytimes.com/slideshow/2014/08/11/obituaries/WILLIAMS-slideshow-now.html
An Actor of Disarming Wit	James Garner, a lantern-jawed actor who appeared in over 50 films and was nominated for an Oscar for 1985’s “Murphy’s Romance,” was perhaps best known for his TV roles in “Maverick” and “The Rockford Files.”	http://www.nytimes.com/slideshow/2014/07/20/obituaries/20140721-GARNER-feeds.html
Robert Gardner and Peter Matthiessen	In a 1996 interview, Robert Gardner and Peter Matthiessen discuss their 1961 trip to New Guinea, which resulted in Mr. Gardner’s film “Dead Birds” and Mr. Matthiessen’s book “Under the Mountain Wall.”	http://www.nytimes.com/video/obituaries/100000002999087/robert-gardner-and-peter-matthiessen.html
A Life on the Podium	Lorin Maazel, a former child prodigy who went on to hold the music directorship of the New York Philharmonic and several other ensembles around the world, was 84.	http://www.nytimes.com/slideshow/2014/07/13/obituaries/14MAAZEL_ss.html
Mickey Rooney Dies at 93	He stood only a few inches taller than five feet, but the exuberant actor was larger and louder than life.	http://www.nytimes.com/slideshow/2014/04/07/obituaries/20140407-ROONEY-now.html
A Portfolio of Celebrated Characters	Jack Mitchell’s photographs captured a history of the arts in the late 20th century.	http://www.nytimes.com/slideshow/2013/11/09/obituaries/mitchell-obit.html
Notable Deaths of 2010	Remembering George Steinbrenner, J.D. Salinger, Teddy Pendergrass, Howard Zinn and others who died this year.	http://www.nytimes.com/interactive/obituaries/20100329_NOTABLEDEATHS.html
Notable Deaths of 2013	Remembering Jonathan Winters, Julie Harris, Edward I. Koch, Chinua Achebe, Margaret Thatcher, James Gandolfini and others who died this year.	http://www.nytimes.com/interactive/obituaries/notable-deaths-of-2013.html
Lou Reed, 1942-2013	Mr. Reed, a disciple of Andy Warhol and of the poet Delmore Schwartz, claimed his niche as music’s eternal New York bohemian.	http://www.nytimes.com/slideshow/2013/10/27/obituaries/20131028-REED.html
Helen Thomas Grills the Presidents	Helen Thomas covered every president from John F. Kennedy to Barack Obama and was known for her blunt questions and sharp tone.	http://www.nytimes.com/video/obituaries/100000002348175/helen-thomas-grills-the-presidents.html
Remembering Slim Whitman	Country musician Slim Whitman died Wednesday at age 90.	http://www.nytimes.com/video/obituaries/100000002290575/remembering-slim-whitman.html
Merrill Brockway, 90, PBS Producer, Dies	"Merrill Brockway, a director and producer who brought high art to millions of Americans by presenting many of the 20th century’s greatest dancers and choreographers on the PBS television series “Dance in America,” died on May 2 in Santa Fe, N.M. He was 90.
 
His death was confirmed by his partner of 17 years, John Eric Roybal, his only immediate survivor."	http://query.nytimes.com/gst/fullpage.html?res=9C02E2DA173BF930A25756C0A9659D8B63
Herbert Blau, Pioneering Theater Director, Dies at 87	"Herbert Blau, a fiercely iconoclastic theater director, scholar and theorist who staged some of the earliest productions of Beckett, Brecht and Genet in the United States, died in Seattle on May 3, his 87th birthday.
 
The cause was a sarcomatoid carcinoma of the chest, a type of cancer, his family said."	http://query.nytimes.com/gst/fullpage.html?res=9B00EFDE1538F931A25756C0A9659D8B63
Andy Johns, 62, Rolling Stones&#x27; Album Engineer	"Andy Johns, a record producer and engineer who was involved in several canonical albums of 1970s rock, including the Rolling Stones ’ “Exile on Main St.,” Television ’s “Marquee Moon” and a string of recordings by Led Zeppelin, died on April 7 in Van Nuys, Calif. He was 62.
 
The cause was a bleeding ulcer, said his wife, Annette."	http://query.nytimes.com/gst/fullpage.html?res=9F06E4DC1431F93BA15757C0A9659D8B63
Robert Holding Dies at 86; Held Vast Business Assets	"Robert Earl Holding, a Western entrepreneur who made his first fortune in the 1950s running a 24-hour service station in an otherwise desolate stretch of Wyoming and became a billionaire whose assets included oil refineries and ski slopes, among them Sun Valley Resort in Idaho, died last Friday in Salt Lake City. He was 86. 
 
The cause was continuing complications of a stroke he suffered in 2002, said Clint Ensign, a senior vice president at Sinclair Companies."	http://query.nytimes.com/gst/fullpage.html?res=9F05E5DC1031F935A15757C0A9659D8B63
Shakuntala Devi, 83, &#x2018;Human Computer&#x2019;	"Shakuntala Devi, an Indian mathematical wizard known as “the human computer” for her ability to make incredibly swift calculations, died on Sunday in Bangalore, India. She was 83.
 
The cause was respiratory and cardiac problems, said D. C. Shivadev, a trustee of the Shakuntala Devi Educational Foundation Public Trust."	http://query.nytimes.com/gst/fullpage.html?res=9A02EEDD1E31F935A15757C0A9659D8B63
Howard J. Phillips, Conservative Leader, Dies at 72	"Howard J. Phillips, a pillar of conservative activism who ran for president three times on the ticket of a political party he helped found, died on Saturday at his home in Vienna, Va. He was 72.
 
The cause was temporal frontal lobe dementia , his sister, Susan Phillips Bari, said."	http://query.nytimes.com/gst/fullpage.html?res=9D00E2DA1430F936A15757C0A9659D8B63
Christina Amphlett, 53, Lead Singer With Divinyls	"Christina Amphlett, the lead singer of Divinyls, the Australian rock band whose hit “I Touch Myself” brought her international fame in the early 1990s, died on Sunday at her home in New York City. She was 53.
 
The cause was breast cancer and multiple sclerosis, her husband, the drummer and bassist Charley Drayton, said."	http://query.nytimes.com/gst/fullpage.html?res=9B01EEDC1031F937A15757C0A9659D8B63
Henry Prunier, 91, Dies; &#xd; Was Part of U.S. Mission&#xd; To Train the Viet Minh	"Henry A. Prunier taught Vo Nguyen Giap, the Vietnamese general who withstood the armies of France and the United States, how to throw a grenade.
 
The lesson came in July 1945, after Mr. Prunier and six other Americans had parachuted into a village 75 miles northwest of Hanoi on a clandestine mission to teach an elite force of 200 Viet Minh guerrillas how to use modern American weapons at their jungle camp."	http://query.nytimes.com/gst/fullpage.html?res=9900E2D6113EF937A15757C0A9659D8B63
Morris J. Kramer, 71, Lawyer At Skadden Known for Deals	"Morris J. Kramer, who as a longtime partner at the law firm of Skadden, Arps, Slate, Meagher & Flom helped revolutionize the practice of advising on mergers and acquisitions, died on Friday morning in Manhattan. He was 71. 
 
The cause was complications from prostate cancer, said a son, Oliver Kramer."	http://query.nytimes.com/gst/fullpage.html?res=9803E4D71731F937A15757C0A9659D8B63
Errol Mann, 71, a Top Place-Kicker in the N.F.L.	"Errol Mann, the place-kicker for the Oakland Raiders team that won the 1977 Super Bowl , died on April 11 at his home in Missoula, Mont. He was 71.
 
His death was confirmed by the Sunset Memorial Funeral Home. The cause was a heart attack, The Missoulian reported."	http://query.nytimes.com/gst/fullpage.html?res=9405E6DA1231F931A15757C0A9659D8B63
Zao Wou-Ki, 92; Seen as Modern Art Master	"Zao Wou-ki, a Chinese émigré who merged Eastern and Western aesthetic traditions in his abstract paintings — helping to shape avant-garde art in postwar Europe and attracting a newly wealthy Asian following that made him one of the most commercially successful living artists in either hemisphere — died on April 9 in Nyon, Switzerland. He was 92. The cause was complications of Alzheimer’s disease, said a spokesman for his wife, Françoise Marquet, a former curator of the Museum of Modern Art of Paris.
 
Mr. Zao’s paintings, which are in the collections of the Museum of Modern Art, the Guggenheim and the Tate Modern, among others, have sold at auction in recent years for between $1 million and $2 million each. Since 2011, when sales of his paintings totaled $90 million, art journals and art dealers have frequently referred to him as the top-selling living Chinese artist."	http://query.nytimes.com/gst/fullpage.html?res=9C04E5DE103FF931A15757C0A9659D8B63
Dorothy Taubman, 95, Therapist for Pianists	"Dorothy Taubman, who developed a method to help pianists strengthen their techniques and avoid repetitive strain injuries, died on April 3 in Brooklyn. She was 95.
 
The cause was pneumonia, said her son, Mark."	http://query.nytimes.com/gst/fullpage.html?res=9C01E7DF1631F931A15757C0A9659D8B63
Gerald Lynch, 76, President&#xd; Who Saved John Jay College	"Gerald W. Lynch, who led the fight to preserve John Jay College of Criminal Justice when it was threatened with closing or merger because of New York City’s fiscal crisis, died on Wednesday at his home in Bridgehampton, N.Y. He was 76.
 
He died after a brief illness, said Mayra Nieves, special adviser to the president of John Jay."	http://query.nytimes.com/gst/fullpage.html?res=9B03E1D61631F932A15757C0A9659D8B63
Frank Bank, TV Actor, 71; &#xd; Lumpy on &#x2018;Leave It to Beaver&#x2019;	"Frank Bank, who played the sweet teenage nitwit Lumpy Rutherford on the 1950s-60s hit sitcom “Leave It to Beaver,” died on Saturday in Los Angeles. He had celebrated his 71st birthday the day before.
 
His death was confirmed by Stu Shostak, a friend, who did not provide a cause."	http://query.nytimes.com/gst/fullpage.html?res=9C0DEEDB123EF93BA25757C0A9659D8B63
